"","v1_value","v2_value","judgement_convicted_binary","punishment_prison_days","punishment_fine","punishment_share_max_prison_sentence","n","v1","v2","restriction"
"145","0",NA,0.84375,94.6969696969698,9613.79746835443,0.0671446162120815,224,"judge_some_foreign_background","defendant_is_woman",""
"146","1","0",0.864516129032258,62.9219858156028,12476.8907563025,0.0391876683967214,155,"judge_some_foreign_background","defendant_is_woman",""
"147","1","1",0.75,37.3846153846154,7950,0.0272731226155884,16,"judge_some_foreign_background","defendant_is_woman",""
"148","1",NA,1,53,0,0.050807240704501,8,"judge_some_foreign_background","defendant_is_woman",""
"149",NA,"0",0.865573770491803,64.4945054945055,8466.66666666667,0.0681674948855505,305,"judge_some_foreign_background","defendant_is_woman",""
"150",NA,"1",0.868421052631579,48.1470588235294,6500,0.0293980102794874,38,"judge_some_foreign_background","defendant_is_woman",""
"151",NA,NA,1,143.571428571429,11145.8333333333,0.0653407640602399,14,"judge_some_foreign_background","defendant_is_woman",""
"152","0","0",0.842140693369236,87.9660564454619,9048.61783733828,0.0610591082354754,2971,"judge_some_foreign_background","defendant_some_foreign_background",""
"153","0","1",0.832535885167464,96.5063985374772,6634.22273781902,0.0592753614701256,1254,"judge_some_foreign_background","defendant_some_foreign_background",""
"154","0",NA,0.83585313174946,102.437652811736,9139.13373860182,0.060232368548258,463,"judge_some_foreign_background","defendant_some_foreign_background",""
"155","1","0",0.84070796460177,37.8080808080808,14792.2619047619,0.0331111219364105,113,"judge_some_foreign_background","defendant_some_foreign_background",""
"156","1","1",0.884615384615385,99.64,6469.04761904762,0.0383815322171487,52,"judge_some_foreign_background","defendant_some_foreign_background",""
"157","1",NA,0.928571428571429,81.3076923076923,6250,0.0899608610567514,14,"judge_some_foreign_background","defendant_some_foreign_background",""
"158",NA,"0",0.880165289256198,71.4389140271493,8920.85561497326,0.0664593110240947,242,"judge_some_foreign_background","defendant_some_foreign_background",""
"159",NA,"1",0.811764705882353,37.1142857142857,6601.69491525424,0.0407176378922954,85,"judge_some_foreign_background","defendant_some_foreign_background",""
"160",NA,NA,0.966666666666667,95.6,8790,0.0960737418106015,30,"judge_some_foreign_background","defendant_some_foreign_background",""
"161","0","0",0.842807711319822,91.6821488528261,8080.06149089658,0.0602733878755883,4046,"judge_some_foreign_background","defendant_is_married",""
"162","0","1",0.799043062200957,89.8016997167138,11421.8356643357,0.0591036126018764,418,"judge_some_foreign_background","defendant_is_married",""
"163","0",NA,0.84375,94.6969696969698,9613.79746835443,0.0671446162120815,224,"judge_some_foreign_background","defendant_is_married",""
"164","1","0",0.859872611464968,56.9295774647887,12018.75,0.0386112235183789,157,"judge_some_foreign_background","defendant_is_married",""
"165","1","1",0.785714285714286,106.166666666667,13555.5555555556,0.0268493150684932,14,"judge_some_foreign_background","defendant_is_married",""
"166","1",NA,1,53,0,0.050807240704501,8,"judge_some_foreign_background","defendant_is_married",""
"167",NA,"0",0.869281045751634,62.1678832116788,8214.22413793103,0.0589697582019666,306,"judge_some_foreign_background","defendant_is_married",""
"168",NA,"1",0.837837837837838,66.969696969697,8814.81481481481,0.0979941291585126,37,"judge_some_foreign_background","defendant_is_married",""
"169",NA,NA,1,143.571428571429,11145.8333333333,0.0653407640602399,14,"judge_some_foreign_background","defendant_is_married",""
"170","0","1",0.824529991047448,140.594484167518,3569.50193548387,0.0656565529568288,1117,"judge_some_foreign_background","defendant_net_income_quantile",""
"171","0","2",0.856073211314476,89.6629318394024,5449.37570942111,0.0631693489352949,1202,"judge_some_foreign_background","defendant_net_income_quantile",""
"172","0","3",0.836717428087986,76.5086872586873,8339.40393518519,0.0615065413795956,1182,"judge_some_foreign_background","defendant_net_income_quantile",""
"173","0","4",0.837405223251895,62.7410972088547,16208.5928143713,0.0486424256660209,1187,"judge_some_foreign_background","defendant_net_income_quantile",""
"174","1","1",0.95,60.9210526315789,5426.47058823529,0.032897586431833,40,"judge_some_foreign_background","defendant_net_income_quantile",""
"175","1","2",0.792452830188679,66.4468085106383,4083.33333333333,0.0406844842669738,53,"judge_some_foreign_background","defendant_net_income_quantile",""
"176","1","3",0.80952380952381,72,7288.46153846154,0.0540614740178875,42,"judge_some_foreign_background","defendant_net_income_quantile",""
"177","1","4",0.909090909090909,43.4285714285714,27453.9473684211,0.0212115677321157,44,"judge_some_foreign_background","defendant_net_income_quantile",""
"178",NA,"1",0.927536231884058,71.796875,4789.47368421053,0.0399476125950218,69,"judge_some_foreign_background","defendant_net_income_quantile",""
